question1,question2,is_duplicate,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance
What can make Physics easy to learn?,How can you make physics easy to learn?,1,36,39,-3,17,19,7,8,6,88,88,86,100,89,92,85,0.0,1.1102230246251565e-15,0.0,0.0,0.0,0.0,0.0,0.0
What was your first sexual experience like?,What was your first sexual experience?,1,43,38,5,20,19,7,6,5,94,95,97,100,86,100,94,1.1956191002616101,0.05403304160792233,4.479044564504875,1.0,88.36878606059086,0.3287340706588119,0.1505878739918336,0.16592291388349958
"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,141,140,1,26,26,29,29,20,97,97,96,100,95,97,95,0.0,0.029336874451746597,3.3847293778671883,1.0,71.53162297336694,0.2422266455426001,0.10802894036356904,0.12122924603584911
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,93,91,2,25,24,15,17,4,56,58,54,100,56,61,56,1.8293430388362408,0.29625173035867103,10.484230218011362,1.0,148.98989719163683,0.7697424839988748,0.3503203984487701,0.40848352060557175
What does manipulation mean?,What does manipulation means?,1,28,29,-1,15,15,4,4,3,98,98,96,100,96,98,98,0.0,0.10500769960713685,6.153396509005688,1.0,114.43656928959264,0.458274374717832,0.21184353235451958,0.23546957417657127
Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,57,40,17,21,19,12,8,1,44,48,45,100,59,51,51,2.9386156999880244,0.21092698987336722,8.973470758530311,1.0,137.21898990713106,0.6495028721409658,0.2922341285462561,0.3443815750222825
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,82,73,9,22,24,14,13,5,61,68,59,100,61,72,61,1.868050793835489,0.15871764360204144,7.644780186397838,1.0,131.11831044164924,0.5634139345473467,0.25490457841907066,0.2966856124277782
Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,60,54,6,19,19,9,9,7,89,89,91,100,91,86,84,0.6924760475259424,0.1876318036919019,8.386140802125738,1.0,123.15762998489217,0.612587605567496,0.2776831162480849,0.3107370543497162
Why do rockets look white?,Why are rockets and boosters painted white?,1,26,43,-17,15,18,5,7,3,63,86,65,100,76,81,66,2.501524950995201,0.22392357762438997,9.360888505609182,1.0,144.31809718539552,0.6692138202211061,0.30176918119004154,0.3641694296672593
What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,37,48,-11,18,21,6,10,1,58,74,65,100,81,78,75,3.649201281480139,0.19398700143968983,8.742955687106587,1.0,137.21935720941542,0.6228756185856623,0.2791475567328167,0.331540400930189
What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,47,37,10,17,19,9,7,4,80,80,86,100,86,78,78,0.9792728904807567,0.09722303986518899,6.151494221485336,1.0,113.31507735638829,0.44096042472225516,0.19842326039048952,0.23452615935389404
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,24,57,-33,16,19,7,11,0,33,39,33,39,39,30,30,4.038651978558302,0.4655615291530085,13.505689069104847,1.0,172.78897120167554,0.9649471966050691,0.4280981566454204,0.5616927587437295
What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0,79,48,31,21,21,17,10,0,48,86,50,100,53,50,48,2.736490768175773,0.4498748177603362,13.076353125128662,1.0,166.98988982710387,0.9485513550381458,0.4233968460207552,0.5383733172686631
What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0,79,89,-10,23,24,14,15,13,93,93,91,100,94,93,93,0.6033573197522012,0.08634511051167648,5.65439715917455,1.0,96.47629799489579,0.4155601197645775,0.18864043097363997,0.20275424303841083
What is web application?,What is the web application framework?,0,24,38,-14,15,19,4,6,3,77,86,83,100,61,100,77,1.5571439266204834,0.1286708341849241,7.20781967844232,1.0,125.36214580455601,0.5072885457483028,0.22674190316619625,0.2729250002129378
Does society place too much importance on sports?,How do sports contribute to the society?,0,49,40,9,17,17,8,7,0,44,59,42,100,62,62,57,3.355824262019336,0.31637748203113536,10.79323598441988,1.0,152.33714509261563,0.7954589752656649,0.3579267561656217,0.4210607588164527
What is best way to make money online?,What is best way to ask for money online?,0,38,41,-3,16,18,8,9,7,91,91,87,100,88,93,83,0.6353974518392086,0.07626932571147571,5.337809005264717,1.0,100.65587562016384,0.39056195787911646,0.17942727761265373,0.1960841498987427
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1,38,69,-31,19,25,8,12,6,65,86,71,100,70,91,63,1.5575217130841352,0.2569788426150841,10.026108097459655,1.0,145.1239085964305,0.7169083967838705,0.3214704596198966,0.3845388438818429
What's one thing you would like to do better?,What's one thing you do despite knowing better?,0,45,47,-2,20,20,9,8,6,76,77,73,100,71,81,71,1.0526904282850265,0.17518440996646534,8.2582497990079,1.0,129.64887812791073,0.5919196187899699,0.2656202434744495,0.3077085755409677
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1,86,52,34,21,21,16,11,3,51,86,58,100,53,54,46,2.042571906844411,0.2196548517742002,8.947424666683219,1.0,131.50499155779477,0.662804426355551,0.30120434841002175,0.33892023264297666
What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1,72,71,1,25,24,14,15,11,81,89,80,100,91,94,91,0.9966650411128082,0.060631553250423464,4.853474655272294,1.0,93.42035507401648,0.34822851684855216,0.1559597232634664,0.17854852413247804
"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0,127,53,74,30,21,17,9,1,37,86,43,100,40,38,34,3.975133587474302,0.7562086179254953,16.702956133769476,1.0,195.41562080549602,1.2298037470380785,0.5584931130696666,0.7596022106769833
What is the best travel website in spain?,What is the best travel website?,0,41,32,9,15,13,8,6,5,87,95,97,100,87,100,87,1.1838791234048405,0.1583178971682675,7.825769880408188,1.0,125.02682859013132,0.5627040173144169,0.2517255252602931,0.2910925021840409
Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0,64,77,-13,22,22,13,14,4,45,56,45,100,49,59,49,2.1272030586979,0.29560136876707754,10.476937724797608,1.0,146.14977243599895,0.7688971299892868,0.3486593871350997,0.4070401384806078
I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0,115,76,39,30,26,23,18,9,63,86,59,100,55,81,59,1.9847320548797607,0.30511275160232454,10.848220873318496,1.0,161.25427094140431,0.7811692981249984,0.3509632485758574,0.4359248451221032
"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0,127,194,-67,25,25,25,37,4,45,86,46,100,55,54,51,2.688761227814077,0.30785033786813576,10.876461318628571,1.0,146.0550913952869,0.7846659383993108,0.35424848203589904,0.4183052436387698
How do we prepare for UPSC?,How do I prepare for civil service?,1,27,35,-8,14,16,6,7,4,73,78,74,100,81,82,73,1.951422095298767,0.4272735292341363,13.06404768221546,1.0,170.09848560350963,0.924417150186193,0.4108088322481783,0.5243640479112419
What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0,71,72,-1,26,28,15,12,1,43,53,41,100,51,56,51,3.3564143577020644,0.46292123964248566,13.600583580438979,1.0,171.84633262722053,0.9622070850685385,0.42611464916912606,0.5478367206526551
Why do Slavs squat?,Will squats make my legs thicker?,0,19,33,-14,14,17,4,6,0,32,48,42,56,56,40,40,inf,0.43141497322503164,12.735749918271722,1.0,170.8823096065111,0.9288864028558566,0.4187846544282912,0.5143737751282257
When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0,49,46,3,21,20,8,7,7,97,97,93,100,93,100,97,0.0,5.551115123125783e-16,0.0,0.0,0.0,0.0,0.0,0.0
"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0,41,41,0,20,20,9,9,8,98,98,98,100,98,98,98,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0,67,30,37,18,14,16,7,4,42,86,60,100,69,79,46,2.707490038438845,0.32114294669757293,11.411217777465936,1.0,161.5533958369366,0.8014273942907428,0.3613348126738401,0.4529043484019248
What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0,88,90,-2,25,27,14,15,12,93,93,92,100,89,95,90,0.6115357689213046,0.13796080197513827,7.237333199736895,1.0,110.85591986926423,0.5252824139043997,0.2392136482570095,0.26775298090422334
What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0,57,54,3,22,19,9,9,3,62,66,63,100,68,70,66,2.2217915163142465,0.34991237224526783,11.586241392447846,1.0,158.78269571991166,0.8365553164427169,0.37689334260480273,0.4586201311040618
How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0,59,59,0,23,20,11,9,0,40,40,40,38,40,38,40,3.4800134894719927,0.8094039140238831,17.779029299883405,1.0,200.78498633612185,1.2723238342839704,0.5728789995612532,0.8187842638287612
"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0,135,55,80,24,22,24,12,3,37,86,49,100,51,46,44,3.5947296807834053,0.5839458340334367,14.674651259190796,1.0,176.07698618832598,1.0806903977495623,0.4894560635624521,0.62532524561903
What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1,67,50,17,21,17,13,10,8,77,86,68,100,82,90,82,1.3501539454680807,0.08168930192901502,5.6595354147284525,1.0,102.63673277736845,0.4042011937779356,0.18110542066307572,0.20724586649614013
How do I make friends.,How to make friends ?,1,22,21,1,15,15,5,5,2,90,90,86,100,86,91,80,1.5699584484100342,3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0
Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,1,52,54,-2,22,23,9,10,6,71,77,69,100,73,81,75,1.0831751787261477,0.11208023439785808,6.354037441815308,1.0,112.80057005578432,0.47345587605813966,0.2161784984452214,0.24210954885283886
"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,1,56,55,1,23,18,13,13,8,68,86,67,100,83,91,82,0.541151596268362,0.0250563814577367,3.0900068583505345,1.0,75.7091567991678,0.22385880156836893,0.10128480650751079,0.11418890313288046
Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0,21,52,-31,11,18,5,6,0,25,36,38,40,40,34,34,3.8471356743800946,0.7760591031679867,16.794803341312218,1.0,191.29203088311618,1.2458403596825631,0.5700695430373598,0.7620392033520388
What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,1,64,58,6,22,20,11,11,8,78,81,72,100,70,85,75,1.660248664827347,0.26651403332611656,9.884573606293998,1.0,136.91077418885135,0.7300877063016268,0.3344079557033345,0.37709103387967036
How GST affects the CAs and tax officers?,Why can't I do my homework?,0,41,27,14,21,17,8,6,0,39,39,41,46,46,42,42,3.8847557470798493,0.7184112002398475,16.48955578703317,1.0,195.71067202238612,1.1986752726863008,0.5415016020997756,0.7391752260995044
How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0,33,63,-30,18,23,7,12,0,36,86,36,100,44,36,32,2.9653432873551844,0.6297387857385681,15.546178932258044,1.0,193.45080319904798,1.1222644571376914,0.5113287425724772,0.682873763884328
Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0,21,97,-76,13,20,4,18,1,28,86,57,100,60,62,28,inf,0.3536575277552394,11.520290995162213,1.0,158.865182800714,0.8410202812776194,0.3809515184179107,0.45272131024171747
What are some good rap songs to dance to?,What are some of the best rap songs?,0,41,36,5,15,15,9,8,4,67,77,69,100,74,81,77,2.290393789468646,0.12798767610076278,7.061313075319049,1.0,127.61277625843941,0.5059400672275453,0.2259166130326895,0.26866224795355176
I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,1,139,85,54,29,24,26,16,8,59,86,71,100,66,82,62,1.852737449355982,0.09358452163635644,6.105634025589097,1.0,108.99573145567325,0.4326303867375444,0.191255592604507,0.2279515391987
What are the best ways to learn French?,How do I learn french genders?,0,39,30,9,16,16,8,6,1,51,60,53,100,55,63,48,2.5117693572997797,0.2845369741235627,10.734185675100889,1.0,150.41966292219416,0.7543698919446286,0.334812050813256,0.4211198635582907
How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0,70,32,38,21,18,11,4,1,48,86,62,100,61,44,42,2.790909414178276,0.4127565854884969,12.7573712654048,1.0,168.7801947603327,0.9085775750041786,0.404370530934592,0.5171929693620935
Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0,59,66,-7,20,20,14,13,6,63,66,64,100,59,70,56,1.5610364129741192,0.1959114874893405,8.638649480155436,1.0,138.1794897273432,0.6259576833376158,0.2819617151171106,0.3340501022184732
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,1,69,39,30,21,21,13,9,5,50,86,54,100,53,67,52,2.536379426790544,0.5901429108198528,14.831515963709535,1.0,185.10294824470918,1.086409658750689,0.495089616116958,0.644876380000723
Why do I always get depressed?,Why do I always get depressed in the evening?,0,30,45,-15,16,19,6,9,5,79,90,97,100,79,100,79,1.104565442562089,0.08553149600737053,5.82131887543801,1.0,109.87148375306782,0.413597635841441,0.18693256423223858,0.21707773251968798
Where can I find a European family office database?,Where do I find a U.S. family office database?,0,51,46,5,22,22,9,9,7,84,86,76,100,84,91,83,1.0343801359480898,0.13312772388511884,7.167498407216044,1.0,117.3580635630073,0.5159994536803009,0.23359845332730358,0.2609081651534176
What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,1,66,45,21,22,21,11,9,3,46,66,56,100,61,69,50,2.149766746950531,0.19731836420747928,8.584019830741454,1.0,135.40455814410643,0.6282011860389002,0.2838528029204798,0.326359243678127
What is the best book ever made?,What is the most important book you have ever read?,1,32,51,-19,15,19,7,10,5,67,86,62,100,58,81,62,0.9390885474555994,0.2730282872676979,10.218697591757518,1.0,147.65732218174526,0.7389564070704181,0.33269028941073914,0.39771382531137756
Can we ever store energy produced in lightning?,Is it possible to store the energy of lightning?,1,47,48,-1,20,16,8,9,3,60,64,66,100,67,67,67,1.4736586472169082,0.16102657756831007,7.8707523239572765,1.0,127.44275240392916,0.5674972698639089,0.2561962770145688,0.2958705464462204
What is your review of Performance Testing?,What is performance testing?,0,43,28,15,21,16,7,4,4,78,86,71,100,74,100,78,1.617557406425476,0.10417749729220938,6.325660464382963,1.0,109.01107877500958,0.45645918981902034,0.20492370074734345,0.2371931066362977
At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0,96,64,32,23,19,20,11,0,38,40,42,43,44,44,42,3.485605893291235,0.6850250259265572,16.158423622182454,1.0,192.1350675697605,1.170491352589898,0.5303170486301101,0.7247348912046894
What are the types of immunity?,What are the different types of immunity in our body?,0,31,53,-22,16,18,6,10,5,73,86,74,100,77,100,73,2.3224884105662893,0.14223227621300083,7.172373677691212,1.0,114.9611530802483,0.5333521941012025,0.24380432670349794,0.26924285812433946
What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1,44,42,2,16,16,6,5,5,98,98,95,100,100,100,98,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
How I can speak English fluently?,How can I learn to speak English fluently?,1,33,42,-9,21,22,6,8,6,85,95,82,100,91,100,88,1.1229470694877894,0.04417431947377248,4.2173540142248385,1.0,90.75333492072168,0.29723499137887505,0.13275453567128748,0.15384763102987828
How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,1,104,57,47,26,21,16,9,4,58,86,67,100,68,76,54,3.0513066853951467,0.34877689922200283,11.351393022720004,1.0,155.64437783373302,0.835196840058215,0.3805654234777355,0.4525644297168606
Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,1,69,82,-13,21,21,15,18,14,91,95,99,100,90,100,91,0.7014489826174737,0.04392320571963404,4.05975240044063,1.0,85.95523203629747,0.2963889546920146,0.13432539624203912,0.15008398520942232
If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0,110,148,-38,22,25,20,29,6,40,44,41,100,44,46,44,2.8974242552738407,0.3007554444497571,10.856077125441516,1.0,153.9570426804328,0.7755713139112398,0.34821454019036985,0.4378646328357998
How do I prevent breast cancer?,Is breast cancer preventable?,0,31,29,2,16,13,6,4,1,52,75,55,100,75,79,79,2.168573100976467,0.15874321682182224,7.833297820230655,1.0,127.95512215731124,0.5634593436306293,0.25240131246088376,0.29486928155371267
How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0,58,93,-35,24,27,13,19,4,58,86,60,100,54,58,59,3.1120096495610308,0.21868315249385062,9.168350638821721,1.0,137.30708437179055,0.6613367608971316,0.29800222255616204,0.3447090276075266
How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?",0,42,76,-34,17,23,8,12,2,45,86,50,100,49,49,43,2.1783815549010317,0.3432705776141384,11.637741222752084,1.0,155.9008851703539,0.8285778126723125,0.3731152468949198,0.44710624909898883
What is purpose of life?,What's the purpose of life? What is life actually about?,1,24,56,-32,14,18,5,10,5,56,86,79,100,78,100,60,2.513384234132171,0.06546775185564946,4.988654258631868,1.0,93.44915710362133,0.3618501131306017,0.16327005945377163,0.18237280459714833
When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0,147,83,64,33,23,26,12,1,39,86,42,100,48,52,46,3.623761240551925,0.37577112143078617,11.713334047082753,1.0,157.8669513785295,0.8669153868809567,0.40020538599838684,0.46822905869511483
What is the right etiquette for wishing a Jehovah Witness happy birthday?,How important is it to be the first person to wish someone a happy birthday?,0,73,76,-3,22,18,12,15,5,59,59,59,100,50,61,50,2.5139597088355043,0.26386710402193214,10.063896049417963,1.0,144.88413410506632,0.7264531847272837,0.32553252267155963,0.3907116858289108
"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0,125,100,25,23,28,25,20,6,53,61,55,100,64,64,61,2.903733856799484,0.37914816580186383,12.220965113010607,1.0,162.4572330612724,0.8708021171238622,0.38757282711802654,0.48869249939225723
Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,0,28,56,-28,15,17,5,9,3,51,86,54,100,48,68,44,3.241741716621637,0.6228678198255658,15.791095665082139,1.0,195.95084902980153,1.1161253051302589,0.4942024717069253,0.6988191215778599
What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1,75,77,-2,20,24,14,14,7,67,71,65,100,70,75,68,2.2640644657289024,0.24416493346383106,9.595914082790841,1.0,135.61139659789745,0.698806036503105,0.3146309580888612,0.3612053206425891
How can I increase my height after 21 also?,Can height increase after 25?,1,43,29,14,21,15,9,5,4,63,86,59,100,71,94,77,0.0,0.05722623959463358,4.666345125995576,1.0,82.30142006482629,0.3383082449237794,0.15500414679561453,0.1665691403053292
"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1,126,126,0,28,28,21,21,15,93,93,93,100,90,91,90,0.5555950752960205,0.028839322344425655,3.3363989153585862,1.0,68.54212676368536,0.24016379471675042,0.1081739257267576,0.11942132133055841
What is the difference between sincerity and fairness?,What's the difference between honest and sincere?,0,54,49,5,16,17,8,7,4,81,83,80,100,81,87,87,2.5999690535130187,0.26654891531616065,9.954639737556136,1.0,139.0848019184997,0.7301354757848539,0.33228563104412867,0.37659715174529024
Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1,46,47,-1,25,22,9,9,7,88,88,87,100,88,92,88,1.044158852964158,0.11683039956349217,6.752394650335191,1.0,105.55770063150345,0.4833847401943132,0.21617461576406738,0.24856639554385024
What is your review of The Next Warrior: Proving Grounds - Part 9?,What is your review of The Next Warrior: Proving Grounds - Part 5?,0,66,66,0,26,26,13,13,12,98,98,98,100,98,98,98,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
What is the best reference book for physics class 11th?,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0,55,90,-35,19,30,10,15,4,55,86,62,100,72,74,64,1.6134661279627185,0.16493006981803493,7.7715235797077185,1.0,124.57705368382895,0.5743345325034989,0.264143675085201,0.29605647747403663
"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0,89,157,-68,26,32,13,25,4,52,86,62,100,75,75,58,2.652969465008903,0.4433058341477917,13.255720801884308,1.0,171.25632236563357,0.9416005716042569,0.42148367842464957,0.5430418283311663
What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1,53,51,2,19,17,10,10,4,67,69,65,100,73,73,71,1.2379311812516098,0.24339398582145932,9.57649446609139,1.0,147.51605293946005,0.6977019418599817,0.3156848677932201,0.37819267798449946
What causes a nightmare?,What causes nightmares that seem real?,1,24,38,-14,14,15,4,6,2,70,86,88,100,78,70,70,2.5528260804683334,0.26735661344809936,9.84292901198205,1.0,135.86119637195247,0.7312408882359966,0.3354964852345817,0.36997775524703164
What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0,43,64,-21,17,20,6,10,2,57,86,65,100,67,78,65,2.543280802796041,0.19249303665481,8.772875244656461,1.0,136.77916954828765,0.6204724573504161,0.275905782627114,0.33765840484122395
How does 3D printing work?,How do 3D printing work?,1,26,24,2,16,14,5,5,4,96,96,92,100,91,96,96,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0,56,48,8,21,19,10,8,0,53,53,56,100,53,53,53,2.8733562885496235,0.5723467679988081,15.228607287299383,1.0,188.0437696802954,1.0699034972661288,0.4729486846898403,0.647073575641336
Why did harry become a horcrux?,What is a Horcrux?,0,31,18,13,15,13,6,4,2,60,86,61,100,73,69,51,inf,0.3592216834025931,11.78431436730898,1.0,155.72599150878807,0.8476104099109522,0.37767820254740964,0.4575753358773496
What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0,171,118,53,30,25,29,20,9,56,64,52,100,65,64,67,2.316414388880985,0.2674638478709641,10.20897918978335,1.0,150.3933110923196,0.7313875221430989,0.32859799984404053,0.39970412258599214
Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0,58,56,2,30,24,10,12,1,36,46,32,100,49,47,48,2.343595947742185,0.36702774414795847,12.09756617131643,1.0,166.7214587911186,0.8567704001080354,0.3837024007502512,0.4838068293959304
